hg	Human
panTro	Chimp
panPan	Bonobo
gorGor	Gorilla
ponAbe	Orangutan
nomLeu	Gibbon
rheMac	Rhesus
macFas	Crab_eating_macaque
macNem	Pig_tailed_macaque
papAnu	Baboon
manLeu	Drill
cerAty	Sooty_mangabey
chlSab	Green_monkey
nasLar	Proboscis_monkey
rhiRox	Golden_snub_nosed_monkey
rhiBie	Black_snub_nosed_monkey
colAng	Angolan_colobus
HLpilTep	Ugandan_red_Colobus
calJac	Marmoset
aotNan	Mas_night_monkey
saiBol	Squirrel_monkey
cebCap	White_faced_sapajou
tarSyr	Tarsier
otoGar	Bushbaby
micMur	Mouse_lemur
proCoq	Sifaka
galVar	Malayan_flying_lemur
tupChi	Chinese_tree_shrew
jacJac	Lesser_Egyptian_jerboa
micOch	Prairie_vole
criGri	Chinese_hamster
mesAur	Golden_hamster
perManBai	Prairie_deer_mouse
mm	Mouse
HLmusCar	Ryukyu_mouse
HLmusPah	Shrew_mouse
rn	Rat
HLmerUng	Mongolian_gerbil
nanGal	Upper_Galilee_mountains_blind_mole_rat
HLcasCan	American_beaver
HLdipOrd	Ords_kangaroo_rat
hetGla	Naked_mole_rat
HLfukDam	Damara_mole_rat
cavPor	Guinea_pig
chiLan	Chinchilla
octDeg	Brush_tailed_rat
speTri	Squirrel
HLmarMar	Alpine_marmot
oryCun	Rabbit
ochPri	Pika
vicPac	Alpaca
HLcamFer	Wild_bactrian_camel
HLcamBac	Bactrian_camel
HLcamDro	Arabian_camel
HLturTru	Bottlenose_dolphin
HLorcOrc	Killer_whale
HLdelLeu	Beluga_whale
lipVex	Yangtze_river_dolphin
phyCat	Sperm_whale
balAcu	Minke_whale
HLbalMys	Bowhead_whale
bosTau	Cow
HLbosInd	Zebu_cattle
bisBis	Bison
bosMut	Wild_yak
bubBub	Water_buffalo
HLoviAri	Sheep
HLoviCan	Bighorn_sheep
HLcapHir	Goat
panHod	Tibetan_antelope
HLodoVir	White_tailed_deer
HLcerEla	Red_deer
susScr	Pig
HLequCab	Horse
equPrz	Przewalski_horse
HLequAsi	Ass
cerSim	White_rhinoceros
felCat	Cat
HLaciJub	Cheetah
panTig	Amur_tiger
HLpanPar	Leopard
canFam	Dog
HLlycPic	African_hunting_dog
musFur	Ferret
HLenhLut	Sea_otter
HLailFul	Lesser_panda
ailMel	Panda
ursMar	Polar_bear
odoRosDiv	Pacific_walrus
lepWed	Weddell_seal
neoSch	Hawaiian_monk_seal
manPen	Chinese_pangolin
HLmanJav	Malayan_pangolin
pteAle	Black_flying_fox
HLpteVam	Large_flying_fox
rouAeg	Egyptian_rousette
HLrhiSin	Chinese_rufous_horseshoe_bat
HLhipArm	Great_roundleaf_bat
eptFus	Big_brown_bat
myoDav	Davids_myotis
myoBra	Brandts_myotis
myoLuc	Microbat
HLminNat	Natal_long_fingered_bat
HLdesRot	Common_vampire_bat
eriEur	Hedgehog
sorAra	Shrew
conCri	Star_nosed_mole
loxAfr	Elephant
triMan	Manatee
HLproCap	Cape_rock_hyrax
chrAsi	Cape_golden_mole
echTel	Tenrec
eleEdw	Cape_elephant_shrew
oryAfe	Aardvark
dasNov	Armadillo
HLchoHof	Hoffmanns_two_fingered_sloth
monDom	Opossum
sarHar	Tasmanian_devil
HLphaCin	Koala
ornAna	Platypus
